	x	y	z	x-exact	y-exact	z-exact
0.8113281250000025	32.12948120844834	32.12949897911181	59.927276477605005	59.92746235847451	130.7710883422679	130.7715812776475
0.8114257812500025	32.132618853097604	32.13263677870687	59.9421186684413	59.94230619010223	130.80561948820252	130.80611679019748
0.8115234375000026	32.135756804157474	32.13577488474263	59.9569640645536	59.957153227669565	130.8401591343449	130.8406608049852
0.8116210937500026	32.13889506165788	32.138913297249026	59.97181266659787	59.9720034718327	130.87470728269815	130.87521332401442
0.8117187500000026	32.14203362562874	32.142052016255974	59.98666447523018	59.98685692324791	130.9092639352659	130.90977434928953
0.8118164062500026	32.145172496099995	32.145191041793424	60.00151949110675	60.00171358257161	130.94382909405218	130.9443438828152
0.8119140625000026	32.14831167310157	32.14833037389131	60.01637771488393	60.01657345046033	130.9784027610615	130.97892192659668
0.8120117187500027	32.15145115666339	32.15147001257956	60.031239147218194	60.031436527570754	131.0129849382988	131.01350848263962
0.8121093750000027	32.15459094681541	32.15460995788812	60.04610378876615	60.0463028145597	131.04757562776956	131.04810355295012
0.8122070312500027	32.15773104358756	32.157750209846945	60.06097164018455	60.0611723120841	131.08217483147962	131.08270713953482
0.8123046875000027	32.16087144700978	32.16089076848596	60.075842702130245	60.076045020801025	131.11678255143536	131.11731924440068
0.8124023437500028	32.164012157112026	32.164031633835144	60.09071697526025	60.09092094136768	131.15139878964357	131.15193986955526
0.8125000000000028	32.16715317392424	32.16717280592444	60.1055944602317	60.10580007444136	131.1860235481115	131.1865690170065
0.8125976562500028	32.170294497476384	32.17031428478379	60.120475157701854	60.12068242067959	131.2206568288469	131.22120668876278
0.8126953125000028	32.173436127798404	32.17345607044317	60.135359068328114	60.13556798073993	131.25529863385793	131.25585288683305
0.8127929687500028	32.17657806492026	32.17659816293254	60.150246192768	60.150456755280096	131.28994896515323	131.29050761322657
0.8128906250000029	32.17972030887191	32.179740562281864	60.16513653167918	60.16534874495797	131.3246078247419	131.3251708699532
0.8129882812500029	32.18286285968332	32.1828832685211	60.18003008571944	60.180243950431525	131.3592752146335	131.35984265902314
0.8130859375000029	32.18600571738446	32.186026281680235	60.1949268555467	60.195142372358895	131.39395113683807	131.39452298244714
0.8131835937500029	32.1891488820053	32.18916960178924	60.20982684181901	60.21004401139832	131.42863559336607	131.42921184223638
0.813281250000003	32.19229235357581	32.19231322887808	60.22473004519456	60.22494886820819	131.4633285862284	131.4639092404025
0.813378906250003	32.19543613212596	32.195457162976744	60.23963646633167	60.239856943447	131.49803011743654	131.49861517895755
0.813476562500003	32.19858021768574	32.198601404115216	60.25454610588878	60.25476823777344	131.5327401890023	131.53332965991413
0.813574218750003	32.20172461028512	32.201745952323485	60.26945896452447	60.269682751846254	131.567458802938	131.56805268528524
0.813671875000003	32.20486930995409	32.204890807631536	60.28437504289745	60.284600486324344	131.60218596125642	131.60278425708435
0.8137695312500031	32.20801431672264	32.208035970069346	60.29929434166657	60.2995214418668	131.63692166597082	131.63752437732543
0.8138671875000031	32.211159630620756	32.21118143966694	60.31421686149079	60.314445619132734	131.67166591909486	131.67227304802282
0.8139648437500031	32.21430525167843	32.214327216454286	60.32914260302923	60.3293730187815	131.70641872264275	131.70703027119146
0.8140625000000031	32.21745117992567	32.21747330046141	60.344071566941125	60.34430364147249	131.74118007862907	131.74179604884657
0.8141601562500032	32.220597415392454	32.220619691718284	60.35900375388583	60.35923748786534	131.77594998906892	131.776570383004
0.8142578125000032	32.2237439581088	32.223766390254944	60.37393916452286	60.37417455861968	131.81072845597785	131.81135327568
0.8143554687500032	32.226890808104706	32.22691339610139	60.38887779951184	60.389114854395366	131.84551548137185	131.84614472889123
0.8144531250000032	32.23003796541018	32.23006070928762	60.403819659512536	60.404058375852365	131.8803110672674	131.88094474465487
0.8145507812500032	32.233185430055244	32.23320832984368	60.418764745184845	60.41900512365078	131.9151152156814	131.91575332498854
0.8146484375000033	32.2363332020699	32.23635625779956	60.43371305718879	60.43395509845081	131.94992792863127	131.95057047191034
0.8147460937500033	32.23948128148417	32.23950449318529	60.448664596184535	60.448908300912855	131.98474920813484	131.98539618743888
0.8148437500000033	32.242629668328064	32.24265303603089	60.463619362832375	60.463864731697385	132.01957905621043	132.02023047359305
0.8149414062500033	32.24577836263161	32.2458018863664	60.47857735779272	60.478824391465004	132.0544174748768	132.05507333239234
0.8150390625000034	32.24892736442484	32.24895104422183	60.49353858172614	60.49378728087651	132.0892644661532	132.08992476585678
0.8151367187500034	32.25207667373777	32.25210050962724	60.508503035293316	60.50875340059275	132.1241200320593	132.1247847760067
0.8152343750000034	32.25522629060044	32.255250282612636	60.523470719155064	60.52372275127476	132.15898417461526	132.15965336486298
0.8153320312500034	32.25837621504288	32.258400363208075	60.53844163397234	60.538695333583696	132.19385689584172	132.1945305344469
0.8154296875000034	32.26152644709513	32.261550751443586	60.553415780406226	60.55367114818085	132.22873819775975	132.2294162867803
0.8155273437500035	32.26467698678723	32.26470144734923	60.56839315911794	60.568650195727606	132.2636280823909	132.26431062388536
0.8156250000000035	32.26782783414922	32.26785245095505	60.58337377076882	60.583632476885526	132.2985265517572	132.29921354778486
0.8157226562500035	32.27097898921115	32.27100376229108	60.59835761602036	60.5986179923163	132.33343360788106	132.33412506050192
0.8158203125000035	32.274130452003064	32.27415538138738	60.61334469553415	60.61360674268173	132.36834925278546	132.3690451640602
0.8159179687500036	32.277282222555016	32.277307308274025	60.628335009971956	60.62859872864377	132.40327348849377	132.4039738604838
0.8160156250000036	32.28043430089706	32.28045954298105	60.64332855999564	60.643593950864485	132.43820631702985	132.43891115179724
0.8161132812500036	32.28358668705926	32.283612085538536	60.65832534626721	60.65859241000608	132.47314774041803	132.4738570400256
0.8162109375000036	32.28673938107167	32.286764935976535	60.67332536944881	60.6735941067309	132.50809776068309	132.50881152719427
0.8163085937500036	32.289892382964354	32.28991809432512	60.68832863020271	60.68859904170144	132.54305637985027	132.54377461532934
0.8164062500000037	32.29304569276738	32.29307156061436	60.70333512919132	60.703607215580256	132.57802359994528	132.5787463064571
0.8165039062500037	32.296199310510815	32.29622533487432	60.71834486707718	60.718618629030146	132.61299942299428	132.6137266026045
0.8166015625000037	32.29935323622473	32.2993794171351	60.73335784452295	60.733633282713924	132.64798385102392	132.6487155057988
